restaurant_name,bar_type,price_level,rating_list,address_list
31. Chimney Rock Inn Flemington,"American, Bar",$$ - $$$,3.5,"41 Nj-31, Flemington, NJ 08822"
43. Applebee's,"American, Bar",$$ - $$$,3.5,"244 Highway 202, Flemington, NJ 08822"
67. Buffalo Wild Wings,"American, Bar",$$ - $$$,3.0,"144 State Route 31, Flemington, NJ 08822-4964"
