restaurant_name,bar_type,price_level,rating_list,address_list
44. Nassau Inn,"Bar, Pub",$$ - $$$,3.5,"10 Palmer Sq E 10 Palmer Square E, Princeton, NJ 08542-3796"
59. Ivy Inn,"Bar, Pub",$,3.5,"248 Nassau St, Princeton, NJ 08542-4623"
4. Witherspoon Grill,"American, Bar",$$ - $$$,4.0,"57 Witherspoon St, Princeton, NJ 08542-3225"
10. Triumph Brewing Company of Princeton,"American, Bar",$$ - $$$,4.0,"138 Nassau St, Princeton, NJ 08542-7011"
12. Winberies Princeton,"American, Bar",$$ - $$$,4.0,"One Palmer Square, Princeton, NJ 08542-3718"
26. The Alchemist & Barrister Restaurant,"American, Bar",$$ - $$$,3.5,"28 Witherspoon St, Princeton, NJ 08542-3293"
28. Yankee Doodle Tap Room,"American, Bar",$$ - $$$,3.5,"10 Palmer Sq E, Princeton, NJ 08542-3721"
27. The Dinky Bar & Kitchen,"Bar, American",$$ - $$$,4.0,"94 University Pl, Princeton, NJ 08540-5116"
56. Hooters,"Bar, American",$$ - $$$,4.0,"400 Mercer Mall, Princeton, NJ"
